x,y
185,119
177,122
192,115
176,121
176,131
196,124
193,116
188,119
183,113
185,121
181,114
184,109
197,126
179,111
178,115
183,116
170,130
189,111
196,115
195,116
194,116
195,116
197,118
195,116
181,113
186,118
194,115
203,120
211,127
207,118
202,118
209,112
189,121
191,145
193,143
201,124
195,136
178,141
167,129
174,137
176,128
160,138
155,163
151,137
162,137
165,136
187,129
171,136
182,123
178,123
185,127
183,129
149,138
143,118
153,132
133,123
142,115
124,139
134,126
128,117
145,111
150,110
161,111
121,117
123,117
124,118
123,118
128,113
129,117
127,121
137,116
141,120
145,121
191,122
210,129
176,118
199,123
155,112
173,116
137,130
161,89
178,105
175,105
163,117
141,126
187,128
167,107
158,114
205,127
202,118
202,126
199,121
193,102
180,116
171,115
170,113
164,110
168,123
168,124
168,116
177,120
176,117
175,114
151,114
169,115
166,117
153,128
179,120
171,128
171,127
172,119
168,125
179,120
178,120
180,119
194,110
184,114
174,116
173,116
173,116
174,117
175,116
175,115
182,115
180,102
180,104
201,109
199,111
198,112
197,112
186,113
186,113
199,124
202,129
184,111
190,110
204,109
196,114
195,115
203,129
136,115
161,120
162,109
164,116
177,120
171,127
166,114
165,154
160,156
160,156
160,156
160,157
159,159
161,158
160,159
162,160
162,161
162,160
167,160
167,159
166,160
166,160
166,160
167,161
168,161
168,162
166,160
167,161
167,161
172,161
168,159
173,159
174,167
174,163
178,161
172,161
171,163
176,167
190,159
183,163
182,162
184,162
185,162
185,165
186,165
187,165
187,164
188,166
188,161
189,162
190,161
190,161
191,162
190,162
192,161
190,160
190,161
184,161
182,163
181,164
181,165
181,165
181,164
182,166
182,166
182,166
187,165
187,166
187,167
185,166
185,168
185,168
185,168
176,165
179,164
178,164
179,166
179,167
178,167
178,167
178,167
178,167
179,167
178,166
178,167
179,167
179,167
179,167
179,168
179,167
178,167
178,167
178,168
179,167
178,167
178,167
178,168
179,165
179,166
179,165
179,165
179,166
179,166
179,165
179,166
180,166
179,166
178,167
179,166
179,166
179,165
179,166
180,166
180,166
180,166
180,164
179,165
180,166
180,165
180,166
180,167
183,167
201,170
201,170
201,170
202,170
202,171
202,171
203,170
206,171
209,172
209,172
191,166
187,164
187,167
187,166
187,165
188,165
187,166
187,165
180,165
186,164
190,167
177,166
177,165
176,167
177,166
177,166
176,166
176,166
175,167
176,167
176,167
176,168
175,168
175,168
174,170
175,169
175,169
174,169
174,169
175,169
175,169
176,168
176,168
176,168
176,167
177,167
176,168
177,168
176,168
176,168
177,167
176,168
176,168
176,168
177,168
176,168
178,161
176,164
176,166
176,165
183,165
183,166
183,166
183,166
183,168
183,167
182,167
182,166
182,166
181,167
181,167
182,165
182,166
182,165
182,167
182,166
181,167
181,167
182,166
182,167
182,166
182,167
201,175
201,176
203,165
193,172
184,161
172,159
196,159
204,160
186,160
189,161
187,164
187,165
182,168
190,161
190,163
188,163
189,164
189,163
199,161
200,161
186,166
185,168
194,163
193,164
190,166
185,166
191,163
187,163
187,164
187,161
191,162
196,162
197,164
197,158
197,157
184,161
185,163
198,165
176,165
195,166
194,162
186,167
195,163
193,164
193,164
194,164
195,163
195,164
202,156
200,162
204,158
202,161
202,160
204,157
192,163
189,164
198,164
198,162
206,163
215,161
210,162
208,162
191,147
218,158
215,165
217,166
213,160
213,160
226,162
214,164
216,168
216,171
216,166
222,164
217,163
223,166
219,173
224,176
223,174
225,181
230,180
227,163
227,179
226,171
226,173
225,177
225,177
225,172
222,182
224,177
228,170
226,168
226,174
223,166
223,166
223,170
224,173
223,172
223,169
222,170
223,163
221,162
219,161
223,167
225,168
225,168
225,168
226,168
223,161
218,165
227,162
221,162
230,158
218,157
225,140
190,158
192,157
192,160
195,161
194,157
194,157
197,162
203,163
203,162
144,163
147,166
180,155
181,157
179,159
182,163
177,162
179,160
179,158
178,159
176,158
181,157
184,157
183,158
176,158
178,159
180,157
177,158
177,159
180,157
178,158
178,158
179,157
182,157
184,164
182,168
182,167
181,169
188,165
191,166
188,171
189,169
195,171
203,171
202,170
194,170
196,172
196,171
199,166
197,165
198,166
197,166
199,169
202,165
213,161
214,164
214,165
167,131
184,152
182,156
181,157
